Tipo Doc,Documento,Nombre,Apellido,Mail,Fecha de colaboración,Forma de colaboración,Cantidad
DNI,36985214,Juan,Pérez,juan.perez@mail.com,18/05/2024,DINERO,5000
LE,24681357,María,Gómez,maria.gomez@ejemplo.com,15/04/2024,DONACION_VIANDAS,25
LC,15379624,Carlos,Rodríguez,carlos@mail.com,01/03/2024,REDISTRIBUCION_VIANDAS,40
DNI,47812365,Ana,Martínez,ana.martinez@gmail.com,28/02/2024,ENTREGA_TARJETAS,10
LE,32568974,Pedro,Fernández,pedro.fernandez@hotmail.com,22/05/2024,DINERO,2500
DNI,19273845,Laura,García,lau.garcia@outlook.com,11/04/2024,DONACION_VIANDAS,15
LC,46985231,Javier,Sánchez,javi.sanchez@yahoo.com,05/03/2024,REDISTRIBUCION_VIANDAS,30
DNI,28374659,Sofía,Ramírez,sofia.ramirez@empresa.com,27/02/2024,ENTREGA_TARJETAS,8
LE,35791246,Martín,Díaz,martin.diaz@mail.com,20/05/2024,DINERO,3800
DNI,41265789,Carla,Morales,cmorales@ejemplo.org,09/04/2024,DONACION_VIANDAS,20
LC,57982314,Tomás,Romero,tomas.romero@gmail.com,03/03/2024,REDISTRIBUCION_VIANDAS,35
DNI,26348751,Florencia,Núñez,flor.nunez@empresa.com,25/02/2024,ENTREGA_TARJETAS,12
LE,32156897,Nicolás,Herrera,nico.herrera@hotmail.com,18/05/2024,DINERO,4200
DNI,45789123,Lucía,Castro,lcastro@outlook.com,14/04/2024,DONACION_VIANDAS,18
LC,19875642,Ezequiel,Gutiérrez,egutierrez@yahoo.com,07/03/2024,REDISTRIBUCION_VIANDAS,28
DNI,31265489,Camila,Giménez,cami.gimenez@mail.com,01/03/2024,ENTREGA_TARJETAS,6
LE,46987532,Matías,López,matias.lopez@gmail.com,23/05/2024,DINERO,3000
DNI,28374196,Valentina,Ruiz,vruiz@empresa.com,16/04/2024,DONACION_VIANDAS,22
LC,34612578,Santiago,Gómez,santi.gomez@hotmail.com,10/03/2024,REDISTRIBUCION_VIANDAS,32
DNI,41287965,Catalina,Fernández,cata@outlook.com,04/03/2024,ENTREGA_TARJETAS,9
LE,57418269,Emilio,González,emilio.gonzalez@yahoo.com,26/05/2024,DINERO,4500
DNI,32657419,Milagros,Martínez,mili.martinez@empresa.com,19/04/2024,DONACION_VIANDAS,16
LC,46198725,Lautaro,Pérez,lautaro.perez@mail.com,13/03/2024,REDISTRIBUCION_VIANDAS,27
DNI,28971346,Luciana,García,lgarcia@gmail.com,07/03/2024,ENTREGA_TARJETAS,11
LE,35298167,Bautista,Sánchez,bautista@hotmail.com,29/05/2024,DINERO,3700
DNI,42618579,Abril,Ramírez,abril.ramirez@outlook.com,22/04/2024,DONACION_VIANDAS,24
LC,19276453,Joaquín,Díaz,jdiaz@yahoo.com,16/03/2024,REDISTRIBUCION_VIANDAS,30
DNI,26984175,Isabella,Morales,isa.morales@empresa.com,10/03/2024,ENTREGA_TARJETAS,7
LE,38274691,Benjamín,Romero,ben.romero@mail.com,02/06/2024,DINERO,4800
DNI,45123789,Renata,Núñez,renata@ejemplo.org,25/04/2024,DONACION_VIANDAS,19
LC,51987623,Thiago,Herrera,thiago.herrera@gmail.com,19/03/2024,REDISTRIBUCION_VIANDAS,33
DNI,27816354,Bianca,Castro,bianca.castro@hotmail.com,13/03/2024,ENTREGA_TARJETAS,8
LE,39275618,Manuel,Gutiérrez,manu.gutierrez@outlook.com,05/06/2024,DINERO,3200
DNI,48217365,Julieta,Giménez,jgimenez@yahoo.com,28/04/2024,DONACION_VIANDAS,21
LC,52416789,Santino,López,santino@empresa.com,22/03/2024,REDISTRIBUCION_VIANDAS,29
DNI,36925817,Zoe,Ruiz,zoe.ruiz@mail.com,16/03/2024,ENTREGA_TARJETAS,10
LE,41753298,Máximo,Gómez,max.gomez@gmail.com,08/06/2024,DINERO,4100
DNI,27419856,Delfina,Fernández,delfina@hotmail.com,01/05/2024,DONACION_VIANDAS,17
LC,35218976,Octavio,González,octavio.gonzalez@outlook.com,25/03/2024,REDISTRIBUCION_VIANDAS,26
DNI,48976132,Guadalupe,Martínez,guadalupe@yahoo.com,19/03/2024,ENTREGA_TARJETAS,9
LE,52761394,Facundo,Pérez,facu.perez@empresa.com,11/06/2024,DINERO,3900
DNI,26187435,Antonella,García,anto.garcia@mail.com,04/05/2024,DONACION_VIANDAS,23
LC,39857162,Enzo,Sánchez,enzo@ejemplo.org,28/03/2024,REDISTRIBUCION_VIANDAS,31
